id,score_mode
flagellates,1
adjudicates,0
crowdfunded,1
easternmost,1
dispatchers,1
fascination,1
metastasize,1
injunctions,1
backstroked,1
weathercock,1
tightfisted,1
anthologist,0
roughhouses,1
endlessness,0
mismatching,0
prohibitory,1
stateliness,0
populations,1
orthodoxies,0
pigeonholes,1
brobdingnag,0
autographed,0
denigration,1
doctrinaire,1
newsletters,1
safeguarded,0
condominium,1
coexistence,1
specifiable,0
undermining,1
deliciously,0
polymorphic,0
triplicates,1
judiciously,0
infantrymen,0
weightiness,1
testimonial,0
steadfastly,1
technocracy,0
perceivable,1
mockingbird,1
camerawoman,1
privileging,0
calibrating,1
forefingers,1
jinrikishas,1
misspending,0
insincerity,1
bridegrooms,0
brainwashes,0
incitements,0
instructive,0
addressable,0
mainsprings,1
pocketbooks,1
brusqueness,1
indonesians,0
clapboarded,0
australasia,1
necessitate,0
metabolisms,1
satirically,1
conferments,1
descendents,0
correctable,1
forethought,1
contaminant,1
expenditure,1
hertzsprung,0
philanderer,0
ameliorates,0
reproachful,0
ahmadinejad,0
cannibalism,0
backslidden,0
stalagmites,0
northeaster,0
outsmarting,0
subjugating,1
inferiority,0
rediscovers,0
jackrabbits,0
pyromaniacs,0
frontrunner,0
slenderized,0
chairperson,1
deliverance,0
dismantling,1
copywriters,1
impediments,0
regularizes,1
facilitates,1
hobbyhorses,1
opinionated,1
abbreviates,0
acquisition,0
sorrowfully,1
multiplexed,1
adventurous,1
overexposed,0
versatility,0
pentathlons,1
concomitant,0
roddenberry,0
discounting,1
tenaciously,0
questioners,0
fussbudgets,0
diversified,0
geographers,0
paramedical,1
commercials,0
tourniquets,1
misapplying,1
bittersweet,0
sleepyheads,0
ladyfingers,1
conciliator,1
mythologies,0
remunerated,0
overburdens,0
indomitably,1
repatriates,1
equilibrium,0
arbitrarily,0
emulsifying,0
prostrating,0
beautifying,1
elizabethan,0
strangulate,1
inhabitable,1
typecasting,1
christening,1
invocations,0
standoffish,0
capillaries,0
translucent,1
deregulates,0
alternation,0
circulating,1
frivolities,1
credentials,1
astigmatism,0
masquerades,1
countryside,1
researchers,0
separations,1
secularized,1
pedestrians,1
predictably,0
perpetuated,0
exacerbates,1
sterilizers,1
transverses,0
shibboleths,0
boondoggles,0
redeveloped,1
naturalizes,0
yevtushenko,0
michigander,0
streamlines,1
imperfectly,1
homogenizes,1
afterburner,1
contractual,0
incinerator,1
heartlessly,0
admonitions,0
knickknacks,1
sanctuaries,0
elongations,1
employments,0
albatrosses,0
prospecting,1
windowsills,1
pompousness,1
duplicators,0
fertilizing,1
expeditions,1
nominatives,1
entrenching,0
reassigning,1
substitutes,0
preventives,1
cantilevers,0
proclaiming,1
underhanded,0
wildflowers,0
alternating,0
perspicuity,0
nonresident,1
dissections,0
macroscopic,1
congenially,1
intricately,1
extractions,0
cordilleras,1
auctioneers,0
allegiances,1
exaggerated,0
oscillation,1
stultifying,1
ethnologist,1
syncopating,0
selectivity,0
bellicosity,0
expediences,1
phonologist,1
robocalling,0
curiosities,0
forgetfully,0
renaissance,0
intertwined,1
cottonwoods,0
undervalued,1
recommended,1
hairstylist,0
constricted,1
uncertainly,0
mistrustful,0
cranberries,1
frustrating,0
imperialism,0
cromwellian,1
hammerstein,1
diffraction,1
pronouncing,0
salaciously,0
unfavorably,0
worldliness,0
unfettering,1
remarriages,0
moussorgsky,0
transitives,1
colonialist,1
replaceable,1
retaliatory,0
apologizing,1
archbishops,0
inflammable,1
geophysical,0
undervalues,1
compactness,1
deflections,0
childproofs,1
retrorocket,0
woodworking,0
intolerably,0
equivalence,0
slenderizes,0
guttersnipe,1
supermarket,1
demarcation,1
combustible,0
regenerated,1
respiratory,1
hemorrhoids,1
duplicating,0
refocussing,0
mainstreams,0
realization,1
inseparably,1
nonstandard,0
destructing,0
australians,0
melodically,0
proterozoic,0
graphically,0
commonplace,1
achievement,1
hunchbacked,1
simulcasted,1
omniscience,0
interdicted,1
exquisitely,0
dissolutely,0
instability,0
magisterial,1
stubbornest,0
theoretical,0
persecutors,1
empathizing,1
correlative,1
succinctest,0
unchristian,0
econometric,1
immobilizes,0
conditional,0
encumbering,1
rollerblade,1
legislative,1
designating,0
executioner,1
adjudicated,1
dexterously,1
nominations,1
destruction,0
quintupling,1
unfurnished,1
unwholesome,0
sidetracked,0
centralized,1
caustically,0
polynesians,0
outpatients,1
anaesthesia,1
penetration,0
rubberizing,1
intercessor,0
supplicants,1
charlestons,0
suffocation,1
extravagant,0
forevermore,0
syphilitics,0
backslashes,1
deescalated,1
delinquency,0
scarborough,0
swellheaded,0
backpackers,0
quarterlies,1
disruptions,1
frivolously,1
novosibirsk,1
centenaries,0
safekeeping,1
transposing,0
understated,1
eigenvalues,0
christopher,0
startlingly,1
overwrought,1
verdigrised,1
repossessed,0
underskirts,1
deleveraged,1
chiaroscuro,0
woodcarving,0
massiveness,0
edification,0
conurbation,1
destination,0
variegating,1
centimeters,1
dislocating,1
reservation,0
connotative,0
thoughtless,1
backstories,0
transfixing,0
disembodied,1
wheelchairs,0
heavenwards,1
disarranged,1
sensitivity,0
culminating,1
naughtiness,0
irrelevancy,1
accelerated,1
pediatrists,0
supplicates,1
reprocessed,1
polytheists,0
castigation,1
misbegotten,0
rudimentary,0
interlacing,0
unscrambled,1
conservator,1
freelancing,0
deprecating,0
parentheses,1
nonabrasive,1
snowmobiled,0
crawlspaces,0
restfulness,0
leatherneck,1
disappoints,1
microfiches,1
prizefights,1
evangelical,1
instigation,1
panamanians,1
underexpose,1
figureheads,0
unannounced,1
promisingly,1
maidservant,1
macedonians,1
untouchable,0
flannelling,1
standardize,1
intensively,1
transcended,1
distinction,1
nonexistent,1
crystalized,0
honeycombed,1
deforesting,0
stalemating,1
correlation,1
blacklisted,0
carbonating,1
displayable,0
interlinked,1
convalesces,1
deprecatory,1
chanticleer,0
viewfinders,0
mishandling,0
interbreeds,0
thicknesses,0
malingering,1
cornflowers,1
vertebrates,0
evangelizes,1
taskmasters,1
passionless,0
proficients,1
misconceive,1
configuring,0
consequence,1
overcrowded,0
programming,0
transaction,1
keyboarders,1
encyclicals,1
unjustified,0
snowboarded,0
overgrowing,1
proportions,1
amalgamates,0
yellowstone,0
alternately,1
reassessing,1
misanthropy,1
legislation,0
haberdasher,0
accelerator,1
overreached,1
tempestuous,1
guadalajara,0
overthought,0
amorousness,0
deregulated,1
residencies,0
bobsledding,0
platforming,1
overextends,1
electrifies,0
factorizing,0
incremental,1
settlements,1
swordfishes,0
reactivates,0
armageddons,1
unbeknownst,0
herzegovina,0
odoriferous,0
captivating,1
reorganized,0
discourages,1
speculation,0
salmonellas,1
distinctive,1
crossbreeds,1
centennials,1
resurfacing,1
expatriates,0
counterpart,1
governments,0
backgrounds,0
indulgently,1
fomentation,0
detonations,0
snowblowers,0
handsprings,1
contradicts,0
influential,0
schismatics,1
cleanliness,0
discrepancy,1
introverted,1
obscurities,0
competences,0
outstations,0
cancelation,1
moneymaking,1
stonewalled,1
legitimates,1
typesetters,0
invigorated,0
auditioning,1
splotchiest,0
obstruction,0
pilgrimages,1
chamberlain,0
responsibly,1
convocation,0
nationalism,1
hypothalami,1
drawstrings,1
allocations,1
endearingly,1
millenniums,1
contributed,1
intolerable,1
numerically,1
protections,1
breadfruits,0
unhappiness,1
pomegranate,0
confederacy,1
suggestible,1
chauvinists,1
rastafarian,0
perceptibly,0
shirtwaists,1
assemblyman,0
receptacles,1
originating,0
foreclosing,1
narcissuses,0
powerhouses,0
antibiotics,0
infiltrated,0
birdbrained,0
asseverated,1
discontents,0
cultivating,0
casseroling,0
unavoidable,0
dilapidated,0
newscasters,1
percentiles,0
rationalist,1
unregulated,0
impregnates,1
memorandums,1
calvinistic,0
symptomatic,0
marlborough,1
diminuendos,1
proletariat,0
dromedaries,1
fingerboard,1
unobtrusive,1
voraciously,0
inoculating,1
visionaries,1
barbarously,1
measurement,0
hippocrates,1
algonquians,1
horseradish,0
honorariums,0
cataleptics,0
readerships,0
conscripted,1
coordinated,1
subtotaling,1
convictions,1
descriptors,1
unknowingly,1
postulating,1
undergrowth,0
reemphasize,0
retroactive,1
pacifically,1
outclassing,1
segregating,0
bookmarking,0
malpractice,0
aberrations,0
resistances,0
flightiness,1
romanticist,0
unfulfilled,1
association,1
refurbished,1
nightshirts,0
galvanizing,0
commendably,1
brandishing,1
passageways,0
politicizes,0
springfield,0
cinderellas,0
temptations,1
benefaction,0
undeserving,0
bourgeoisie,0
surplussing,0
plagiarized,1
ornithology,0
suffragette,1
surmounting,0
accountancy,1
curriculums,1
fabrication,0
lubavitcher,1
innovations,0
shouldering,0
trustworthy,1
propellents,0
princeliest,0
predictions,1
liberalizes,0
wheelwright,1
blueprinted,1
iconoclasts,0
examination,0
stereoscope,0
wingspreads,0
semimonthly,0
matchmaking,0
participate,0
percolators,0
broadcasted,1
restrictive,1
emboldening,0
subsidizing,1
recuperated,1
healthfully,1
impropriety,0
filibusters,1
worshippers,0
fossilizing,0
persecution,1
greengrocer,0
mythologist,1
townspeople,0
italicizing,0
schoolrooms,1
roughhoused,1
accentuated,0
tremulously,0
cosmetology,0
willingness,0
bricklayers,1
pointlessly,0
sportswomen,1
seventieths,1
groundswell,0
footlockers,1
perforating,0
repetitious,0
stagflation,0
tachometers,1
shipwrecked,1
pasteurizes,0
leaseholder,0
maddeningly,1
citizenship,1
snowmobiles,1
blockhouses,0
catechizing,0
greenhouses,1
complainers,0
persecuting,1
inheritance,1
secondarily,0
splattering,0
poinsettias,1
flycatchers,0
admonishing,0
highlighter,1
resourceful,1
titillation,0
cappuccinos,0
negotiating,1
bamboozling,1
impregnated,1
vouchsafing,1
ringleaders,1
jeopardizes,1
mouthwashes,1
brahmanisms,1
untimeliest,0
mimeographs,0
instituting,1
supervising,1
initialling,0
prematurely,1
uncivilized,0
comportment,1
probationer,0
medications,1
extemporize,1
internement,0
chirrupping,1
bookmobiles,0
pointillist,0
unfastening,1
inseminated,1
expatiating,0
suitability,1
bartholomew,1
deprivation,1
juggernauts,1
frequentest,1
megalopolis,1
maintainers,1
resemblance,0
lawbreakers,1
celebratory,0
chlorinates,1
subbasement,1
agonizingly,0
refinishing,1
adirondacks,1
explicating,1
calibrators,1
demobilizes,0
desensitize,0
uninhibited,1
radiologist,0
intensified,0
maintenance,0
floatations,1
delinquents,1
caricatures,1
retrenching,0
remonstrate,1
treacherous,0
colonoscopy,1
herculaneum,1
chinchillas,1
cooperating,1
pincushions,0
undershirts,0
disbelieves,1
agglutinate,1
homesteaded,0
cockroaches,0
circumcised,0
indentation,1
gallbladder,0
malefactors,0
revoltingly,0
reoccurring,1
grouchiness,1
intricacies,1
secretively,0
acupuncture,0
belligerent,1
smatterings,0
preparation,0
renegotiate,0
protagonist,1
shapeliness,0
prioritized,1
drastically,0
declensions,0
fraternizes,0
preshrunken,1
spacewalked,0
arbitrators,1
unrehearsed,1
unfavorable,0
demosthenes,1
computerize,0
houseplants,0
corporation,0
subdividing,0
handcuffing,1
modernizing,0
licentiates,1
hallucinate,0
halleluiahs,0
supersizing,1
disentangle,1
sidestrokes,1
indulgences,0
baryshnikov,0
policewomen,1
decrescendo,0
appearances,0
grandstands,1
earnestness,0
currycombed,1
catafalques,1
thesauruses,0
deprogramed,1
turtledoves,0
prosceniums,0
breadwinner,0
subtotalled,0
syllabifies,0
stewardship,1
superscript,0
pejoratives,1
telescoping,0
apatosaurus,1
acclimating,1
stripteased,1
biographies,1
pocketknife,1
connectives,1
supertanker,0
hilariously,0
fornicating,0
firecracker,0
tracheotomy,1
equestrians,1
cloverleafs,0
intonations,0
sequestered,1
caffeinated,0
cheerlessly,1
conjunctive,1
farinaceous,0
decremented,0
regrettably,1
accustoming,0
universally,0
podiatrists,0
conclusions,0
charismatic,0
corrections,1
predestined,1
routinizing,0
spokeswoman,1
obviousness,1
calendaring,0
caterpillar,1
raspberries,0
diametrical,0
advertising,0
uncleanness,1
exhibitions,0
electrolyte,1
overflowing,1
revocations,0
preferences,1
signposting,0
shipbuilder,1
backlogging,0
retardation,0
participles,1
asphyxiated,1
compartment,1
complaisant,0
beiderbecke,0
transformer,0
noticeboard,1
redirecting,1
approaching,1
telemetries,0
louisianans,1
nymphomania,1
extensional,1
dissembling,1
goaltenders,1
extenuating,1
aristocrats,0
syndicating,0
constrictor,1
paraplegics,1
miscounting,1
modulations,1
thenceforth,1
burlesquing,1
reverencing,1
inalienable,1
lightninged,1
constipates,1
dichotomies,0
kneecapping,0
missourians,0
carcinomata,1
exclusivity,1
hygrometers,0
underpinned,1
infuriating,0
enfranchise,1
refutations,1
complacence,0
paleolithic,0
stairmaster,0
hellenistic,1
perpetrator,0
perpetually,1
footbridges,0
sedimentary,1
disposition,0
defensively,1
overwriting,1
cowpunchers,0
ineluctable,0
overpowered,0
schenectady,1
offhandedly,0
colonialism,1
secretarial,0
uncertainty,0
bournemouth,0
arraignment,0
elaboration,1
interchange,1
buttonholed,0
retractions,1
wellsprings,0
ricocheting,1
rhapsodized,0
hyphenation,1
interaction,0
treacheries,0
reformatory,1
hyperlinked,1
carolingian,0
whitsundays,1
hemstitched,0
irregularly,1
anchorwoman,0
wealthiness,0
adversities,1
archaeology,1
fluoridated,0
surrealists,0
sufficiency,1
airsickness,0
impersonate,0
hagiographa,0
blankenship,0
excoriation,0
deescalates,1
coagulation,0
middlebrows,0
androgynous,1
calligraphy,1
murderously,1
cultivators,1
impenitence,0
disencumber,0
tentatively,0
screenshots,0
transceiver,0
flexibility,0
overindulge,0
politicians,1
knucklehead,1
symmetrical,1
inebriation,0
appositives,1
reorganizes,1
informative,0
unthinkable,0
bombardiers,0
refrigerate,1
resignation,1
retaliation,0
paraphrases,0
kingfishers,0
masterpiece,0
annexations,1
brandenburg,1
granulating,1
attenuating,1
underground,1
gentrifying,1
unflinching,1
spontaneous,1
statehouses,1
headhunters,1
interrelate,0
homogeneity,0
evasiveness,0
pamphleteer,0
nonchalance,1
downplaying,1
magnanimity,1
troposphere,0
assiduously,0
procreation,0
prototyping,0
baptistries,0
contributes,0
inclusively,0
protractors,1
lengthening,1
electrified,1
goldbricked,0
booksellers,1
distressing,0
submergence,0
indefinable,1
foreseeable,1
remaindered,0
vaccination,1
postmortems,0
barbiturate,1
liquidators,1
countenance,1
offensively,0
ultrasounds,0
nationality,0
chrysalides,1
transported,0
recitatives,1
subheadings,0
interlopers,0
astronomers,1
ignominious,1
terrestrial,0
predicative,0
westernized,0
hemophiliac,0
battlefield,0
quarrelsome,0
connoisseur,1
disheveling,1
contrasting,0
acclimation,1
austerities,1
maltreating,1
manipulated,1
enumeration,0
pinfeathers,1
profanation,1
anesthetist,0
motorbiking,1
concurrence,1
bridgeheads,0
coordinator,1
diversifies,0
decelerates,1
accumulated,1
translation,1
immigrating,0
typewriters,1
overwhelmed,1
chattanooga,0
manifolding,1
exorbitance,1
montesquieu,0
antichrists,1
semiprivate,1
overbooking,0
hemorrhaged,0
overcharged,0
perorations,0
bloodstains,1
importunity,1
mountebanks,0
chlorophyll,1
undefinable,1
constructed,0
dressmaking,1
bowdlerized,0
nervelessly,0
erroneously,1
preexisting,1
intoxicated,1
rapaciously,1
whorehouses,0
wheresoever,0
reinstalled,1
inhabitants,0
ingratiates,0
defenseless,1
landsteiner,1
overstating,0
unequivocal,1
bureaucracy,1
merchantmen,1
stripteases,1
plagiarisms,0
impositions,1
engendering,1
masturbates,1
mountbatten,0
meteorology,1
teotihuacan,1
subjugation,1
dauntlessly,1
shallowness,0
enchantment,0
vanquishing,1
sandblasted,0
disoriented,0
refrigerant,1
transducers,0
unsaturated,0
accompanist,0
premonition,1
schoolbooks,1
candelabrum,0
whereabouts,0
wineglasses,0
unbreakable,1
chaotically,0
megaphoning,1
shuttlecock,0
pericardium,1
playgrounds,0
sculpturing,1
summerhouse,1
trivializes,1
subprograms,0
parenthesis,0
refinancing,1
inequitable,1
orthopedics,0
electronics,1
confections,0
mendelssohn,1
humiliating,1
detrimental,0
resubmitted,1
condolences,1
concavities,0
penitential,0
providences,1
tutankhamen,1
aftereffect,0
squandering,0
excessively,0
depressives,0
sandpapered,1
resolutions,1
turbulently,1
disorganize,1
swallowtail,0
detachments,0
submersible,0
singularity,0
recidivists,0
inescapable,1
homecomings,0
inescapably,0
hypocrisies,1
interrupted,0
fabricating,0
unutterable,1
salesclerks,1
abusiveness,1
selfishness,0
stepladders,0
negligently,0
lallygagged,1
respiration,1
infestation,1
propinquity,1
indirection,0
allegorical,1
undershorts,0
backhanding,0
matchsticks,1
tautologies,1
sovereignty,0
springiness,1
gymnosperms,0
prerogative,1
extenuation,1
helicopters,0
unhealthier,0
eligibility,1
sweatshirts,0
ingratitude,0
pisistratus,0
displeasing,1
luxuriously,1
incantation,1
centerfolds,1
repossesses,1
provisioned,0
sympathized,0
inestimable,1
unburdening,1
disinclines,1
congressmen,0
fundamental,0
prestigious,0
surfboarded,1
franchisers,0
sandblaster,0
solidifying,0
furthermore,0
atrociously,1
maneuvering,0
percolating,0
masticating,0
equivalents,0
officialdom,0
executrixes,0
hydrophobia,1
cloudbursts,0
corresponds,1
